problemTitle,language,code,id
Climbing Stairs,java,"class Solution {\n    public int climbStairs(int n) {\n        if(n == 1) return 1;\n        if(n == 2) return 2;\n        int a = 1,b = 2,c = 0;\n        for(int i = 3;i <= n; i++){\n            c = a + b;\n            a = b;\n            b = c;\n        }\n        return c;\n    }\n}",171
Climbing Stairs,java,class Solution {\n    public int climbStairs(int n) {\n        if(n<=2) return n;\n\n        int a=1;\n        int b=2;\n        for(int i=3;i<=n;i++)\n        {\n            int c=a+b;\n            a=b;\n            b=c;\n        }\n        return b;\n    }\n},174
Climbing Stairs,java,"class Solution {\n    public int climbStairs(int n) {\n        if(n==1){\n            return 1;\n        }\n        if(n==2){\n            return 2;\n        }\n      int a=1,b=2,c=0;\n      for(int i=3;i<=n;i++){\n        c=a+b;\n        a=b;\n        b=c;\n      }\n      return c;  \n    }\n}",175
Climbing Stairs,c,"// Climbing Stairs\n// TODO: Implement solution\n\nvoid solution() {\n     if(n==1)\n    return 1;\n    if(n==2)\n    return 2;\n    int n1=1,n2=2;\n    int ans=n1+n2;\n    for(int i=0;i<n-3;i++){\n        n1=n2;\n        n2=ans;\n        ans=n1+n2;\n    }\n    return ans;\n}",180
Climbing Stairs,c,"// Climbing Stairs\n// TODO: Implement solution\n\nvoid solution() {\n     if(n==1)\n    return 1;\n    if(n==2)\n    return 2;\n    int n1=1,n2=2;\n    int ans=n1+n2;\n    for(int i=0;i<n-3;i++){\n        n1=n2;\n        n2=ans;\n        ans=n1+n2;\n    }\n    return ans;\n}",181
Climbing Stairs,java,"class Solution {\n    public int climbStairs(int n) {\n        Map<Integer,Integer> m=new HashMap<>();\n        return climbing(n,m);\n    }\n    public int climbing(int n,Map<Integer,Integer> m){\n        if(n==0||n==1){\n            return 1;\n        }\n        if(!m.containsKey(n)){\n            m.put(n,climbing(n-1,m)+climbing(n-2,m));\n        }\n        return  m.get(n);\n    }\n}",185
Climbing Stairs,java,"class Solution {\n    public Object solution(Object input) {\n        int n=input;\n        Map<Integer,Integer>m=new HashMap<>();\n        m.put(0,1);\n        m.put(1,1);\n        for(int i=2;i<=n;i++)\n        {\n            m.put(i,m.get(i-1)+m.get(i-2));\n        }\n        return m.get(n);\n    }\n}",187
Climbing Stairs,java,"class Solution {\n    public Object solution(Object input) {\n        int n=input;\n        Map<Integer,Integer>m=new HashMap<>();\n        m.put(0,1);\n        m.put(1,1);\n        for(int i=2;i<=n;i++)\n        {\n            m.put(i,m.get(i-1)+m.get(i-2));\n        }\n        return m.get(n);\n    }\n}",188
Climbing Stairs,c,// Climbing Stairs\n// TODO: Implement solution\n\nint climbStairs(int n) {\n    long int p1=1;\n    long int p2=1;\n    for(int i=0;i<n;i++)\n    {\n        long int temp=p1;\n        p1=p1+p2;\n        p2=temp;\n    }\n    return (int)p2;\n},189
Climbing Stairs,c,"// Climbing Stairs\n// TODO: Implement solution\n\nvoid solution() \n{\n   \n   \n    if(n==0||n==1)\n    return 1;\n     int s=1,e=1;\n    for(int i=2;i<=n;i++)\n    {\n    int t=e;\n    e=e+s;\n    s=t;\n    \n    }\n    return ;\n\n}",191
